,Unnamed: 0,RecipeName,Ingredients,Course,Instructions
33,33,Agashe,"['500 g chicken breasts', '½ cup sesame oil', '¼ cup lemon juice', '1 cup flour', '½ tsp ground cardamom', '1 Tbsp poultry seasoning', '2 tsp paprika', '2 tsp salt', '2 tsp cumin powder', '1 Tbsp coriander powder', '1 Tbsp ginger powder', '1 Tbsp red chili powder optional', '1 Tbsp tomato paste', '4 heaping Tbsp peanut butter']","Dinner, Lunch","['Cut the chicken breasts lengthwise into thin slices. Place them in a bowl along with the sesame oil and lemon juice. Toss and set aside to marinate.', 'To make the coating, combine flour, spices, tomato paste, and peanut butter in a bowl until it comes together into a sand-like texture.', 'Coat each chicken breast well with the spiced flour coating, packing to make sure it sticks.', 'Preheat the oven to 410°F. Place chicken on a parchment-lined oven tray and spray with more sesame oil. Bake for 15 minutes or until chicken is cooked through.', 'Serve right away!']"
34,34,Noon Chai,"['2 Tbsp whole green tea leaves', '5 cups water plus more for additional boiling', '1 generous pinch baking soda']",Drink,"['In a pot, combine tea leaves, 5 cups water, and baking soda. Bring to a boil.', 'Simmer and keep boiling till almost all of the water is evaporated and only a cup or so remains, this will take about half an hour. Once it is reduced, add more water to make it its original volume and boil it again till half of it is evaporated.', 'Top for the third time with cold water to make it its original volume. Put back on the heat and keep mixing it with a ladle, frothing it till it gets a good boil. Then take it off heat. It should look dark red in color because of the chemical reaction between the baking soda and chlorophyll in the tea leaves. Either us right away or cool and store in the fridge to heat and make a cup of tea later.']"
35,35,Cantaloupe Milkshake,"['1 cup chopped cantaloupe', '1 cup milk', '1 pinch sugar more or less depending how sweet you like it', '1 pinch cardamom powder', '1 scoop vanilla ice cream']","Dessert, Drink","['Blend together all ingredients until smooth.', 'Enjoy cold!']"
36,36,Avocado Quark Creme,"['1 ripe avocado', '3-4 Tbsp lemon juice divided', '1 tsp lemon zest', ""250 g quark or farmer's cheese, or drained greek yogurt"", '1 Tbsp creme fraiche', '2½ Tbsp sugar', '¼ tsp vanila extract', '150 g fresh raspberries', '5 Tbsp seedless raspberry jam', '¼ cup slivered almonds for garnish, optoonal']",Dessert,"['Halve the avocado, remove the pit, peel and cut into chunks. Puree in a food processor (or with an immersion blender) with two tbsp lemon juice and lemon zest.', 'Mix with quark and creme fraiche, sugar and vanilla extract.', 'Put the mixture in a nice glass bowl or individual serving glasses. Put the raspberries in a single layer onto the mixture with the holes facing down so they look like neat little rows of hats.', 'Put the raspberry jam and leftover lemon juice in a bowl and microwave for 30 seconds (or briefly heat in a double boiler) until the jam becomes liquid.', 'Carefully spoon the raspberry jam on top of the raspberries so everything is coated with a thin layer. This can also be done with a silicone baking brush.', 'Chill in the fridge for an hour, it tastes best that way. Garnish with the slivered almonds right before serving and enjoy!']"
37,37,Manggang Hilaw at Bagoong Mangos,"['1 unripe, green mango', '1 jar Bagoong (sautéed shrimp paste)']",Snack,"['Peel mango and cut into spears.', 'Serve mango spears alongside a dollop of Bagoong.', 'To eat, dip your mango in a little of the Bagoong and take a bite. Remember, a little of this paste goes a long way!']"
38,38,Kadhi,"['1½ cups sour curd (full fat) or sour yogurt', '3 cups water more or less as needed', '½ tsp red chili powder', '½ tsp turmeric', '½ tsp garam masala', '1 generous pinch hing', '1½ tsp salt or to taste', '8 Tbsp gram flour']","Dinner, Lunch","['In a bowl take the sour curd and whisk it well till smooth.', 'Add gram flour, red chilli powder, turmeric powder, garam masala powder and salt to the whisked curd.', 'Stir and mix everything again. Add 3 cups water and stir again.', 'Stir very well to make a smooth mixture without lumps. If there are lumps, then break them with a wired whisk or a spatula or with your fingers. Set the curd slurry aside.', 'You can use a blender to make this mixture, but make sure you don’t over do it. You will get butter instead of a smooth blended curd.']"
39,39,Achu Soup,"['1-2 lb assorted meat (beef, tripe, cow skin)', '6-7 cups stock and/or water', '1 Tbsp maggi or bouillon powder', '1 Tbsp limestone', '2 Tbsp ground achu spice', '½ cup red palm oil', '1 scotch bonnet pepper or habanero', '4-5 lb coco yams/taro peeled and cut into chunks', 'salt to taste']","Dinner, Lunch","['In medium –sized saucepan boil meat, season with salt, hot pepper, and maggi until tender (approximately 30-60 minutes depending on the choice of meat). You can shorten this process in half by using a pressure cooker. Reserve the stock (preferably 6 cups or more).', 'Remove pepper, meat, skin, tripe, etc. Set aside.', 'Let the stock come to room temperature before using.', 'While stock is cooling, grind limestone and warm oil.', 'In a blender, pulse stock, limestone, oil and achu spice until all the ingredients have been fully incorporated and it has turned into yellowish color.', 'Adjust salt and maggi according to taste.', 'For cocoyam/taro, boil until tender( about 45 minutes). Drain water and let it dry out.', 'Puree in a food processor into a fine consistency ( do not use any water).', 'Serve warm with achu.']"
40,40,Pizzoccheri,"['250 g buckwheat pasta', '200 g salted butter grass fed recommended', '250 g Valtellina Casera DOP cheese or fontina or gouda', '150 g grated parmesan cheese', '200 g cabbage chopped', '250 g potatoes cut into small cubes', '1 clove  garlic sliced', 'pepper to taste']","Dinner, Lunch","['Cook the cabbage and potatoes in salted boiling water. Add the pasta after 5 minutes.', 'After about ten minutes, collect the pizzoccheri and veggies with a slotted spoon and pour part of them into a large pan or casserole dish. Sprinkle with grated parmesan cheese and chunks of Valtellina Casera DOP. Continue alternating the pizzoccheri/veggies and cheese.', 'Fry the butter with the garlic, letting it brown well, before pouring it onto the pizzoccheri.', 'Without stirring, serve the pizzoccheri piping hot with freshly ground pepper.']"
41,41,Suan Jiangdòu,"['400 g cowpea (long beans)', '1 carrot peeled and cut into matchsticks', '10 red chilis', '1 small piece ginger', '1 tsp sichuan peppercorns', '750 g water', '23 g salt']","Dinner, Lunch","['Add cowpeas to a large mason jar. Layer remaining fermenting ingredients on top. You can use a stone to make sure all the ingredients stay submerged in the water.', 'Ferment at room temperature for 7-10 days.']"
42,42,Heather's Sausage Pasta,"['1 large kielbasa', '2-3 roma tomatoes', '4+ cloves garlic', '4 green onions', '2 cups red wine bold and dark wines work best', '2, 15 oz cans tomato sauce', '1½ tsp liquid smoke optional', 'pasta of your choice']","Dinner, Lunch","['Slice kielbasa into rounds aprox 1/4"" thick or less. Put Kielbasa into a large pot on medium high heat. It is VERY important that some pieces of kielbasa are blackened. Stir occasionally to assure even cooking. Turn heat down to medium after kielbasa is properly cooked; aprox 10 minutes.', 'While kielbasa cooks, remove skins from garlic and mince. Quarter, seed, and dice tomatoes into half inch pieces. Thinly slice green onions, separating the green from the white portions.', 'Once the pot has been at medium for 4 minutes, add the minced garlic and let it cook until aromatic and give it a good stir to incorporate it into the kielbasa.', 'Turn the heat back up to medium high and add the red wine. Allow the wine to come to a boil for aprox 5 minutes.', 'Add the tomato sauce, stir to combine. The sauce should be a burgundy color (not tomato red). Add more wine if you think the color is off.', 'Immediately add the diced tomatoes and the liquid smoke, if using. Add salt and pepper to taste, keeping in mind the kielbasa will already add saltiness to the dish.', ""Allow to cook uncovered on medium high for about 30 minutes until the sauce is thick and tomatoes have broken down. (This will splatter everywhere and make a mess of things. It's worth it!) Stir occasionally."", 'Meanwhile, cook pasta according to package instructions. Set aside.', 'After the sauce has cooked for about 10 minutes, add the white green onion bits.', 'Serve on top of pasta. Garnish with the green onions tops!']"
43,43,Ice Orathi,"['ice', 'sarsaparilla syrup', 'pickled vegetable', 'roasted chana dal', 'tutti frutti']",Snack,"['Shave ice into a cup.', 'Drizzle on syrup.', 'Add pickled vegetables/rind, chana dal, and tutti frutti on top.', 'Stir it up and enjoy immediately!']"
44,44,Bingjiang,"['60 g cooked sticky rice', '120 g fresh mango chopped', '240 g  ice', '1 ½ Tbsp sugar', 'chopped, roasted peanuts for garnish', 'toasted sesame seeds for garnish']","Dessert, Drink","['Blend together all the ingredients except the sticky rice for 1 minute.', 'Add the sticky rice, blend for 30 more seconds.', 'For each shake, top with garnishes and serve.']"
45,45,Mandazi,"['3 cups self-raising flour plus more to dust', '¾ cup sugar', 'lemon zest as desired', '½ tsp ground cardamom optional', '½ tsp cinnamon optional', 'pinch salt', 'warm water as needed', 'neutral oil for frying']","Breakfast, Dessert, Snack","['In a bowl, sift self-raising flour, sugar, cardamom, cinnamon, and salt. Add grated lemon zest, then create a well in the center for warm water.', 'Gradually add water while kneading. Add this little by little until a smooth dough is formed. Avoid overworking it.', 'Cover the bowl and let it rest in a warm place for at least 20 minutes or overnight. Once the dough has rested, transfer it to a floured rolling board or a clean kitchen countertop.', 'Divide the dough into 4 portions, and roll each portion between the palms of your hands to form a ball. Roll out each ball of dough to a circle, about 20 cm in diameter and ¼-inch thick. Cut into 8 triangles or as preferred.', 'Heat the oil in a large pot to 350°F (180°C) and fry for 3-5 minutes on each side or until golden brown.', 'Transfer them to a kitchen or paper towel-lined bowl to drain. Serve your Kenyan mandazi with a cup of chai, coffee or simply enjoy them as they are! You can also store them in paper bags for later.']"
46,46,Cheesy Eggy Toast,"['2 slices bread your choice', '1 egg', 'cheddar or gouda cheese grated', 'butter', 'Worcestershire sauce optional']","Breakfast, Snack","['Heat a little butter in a frying pan over high heat.', 'Lightly toast slices of bread on both sides.', 'In bowl mix egg with a large handful of grated cheese until it’s a thick mixture.', 'Spread the egg mixture on the toast (don’t pat it down too hard, you want it sticking to the toast but not mushed up).', 'Flip it, egg-mixture down, into the hot pan.', 'Let it cook for about 3-4 minutes.', 'Flip it back onto your plate, top with a little Worcestershire sauce (if using) and enjoy!']"
47,47,Kolokithopita,"['4 small zucchinis', '140 g plain Greek yogurt', '150 g feta cheese', '2 eggs', '80 g olive oil', '5 sheets phyllo pastry', 'salt & pepper']",Dinner,"['If frozen, defrost phyllo.', 'Grate the zucchinis with a hand grater and add to a strainer. Add a bit of salt and massage the zucchinis. Let them sit for 15-30 min and then squeeze out the water.', 'Add the Greek yogurt, feta cheese, eggs, and season with salt and pepper to a mixing bowl.', 'Preheat oven to 350F / 180C.', 'Grease round pan with oil. Place a sheet of phyllo in the pan and grease well also. Repeat until you have 5 layers. Add the filling and spread evenly with a spoon.', 'Overlap the excess phyllo that hangs out of the pan on top to cover the filling. Make sure you grease each phyllo well with olive oil. Prick the pie a few times with a knife and bake for approximately 30-45 minutes until the pastry is golden brownish.\xa0Cool slightly before serving.']"
48,48,Kartoffelsalat,"['1 kg Boiled Potatoes', '6 Pickles Diced', '1/2 Onion Diced', '1 Apple Diced', '2 tbsp Grainy Mustard', '1 tbsp Sugar', 'Splash of Pickle Water', 'Salt & Pepper to taste']",Snack,"['Cut peeled and boiled potatoes into slices.', 'Finely chop pickles, apple and onion.', 'Mix everything well with the remaining ingredients.', 'Add fresh chives or parsley for the summer version and serve!']"
49,49,Kuku Sabzi,"['1 lb cilantro about 3 large bunches', '1 lb Italian parsley about 3 large bunches', '1 large bunch fresh dill', '4 crisp leaves from a romaine heart', '2 large leeks roots and top 1 inch trimmed', '3 Tbsp plus ¼ cup olive oil', 'salt & pepper to taste', '1 Tbsp dried fenugreek', '2 tsp dried dill', '¼ cup barberries rinsed and dried', '1 tsp turmeric', '½ tsp baking powder', '6-7 large eggs', '4 Tbsp butter', 'radishes for serving, optional', 'Persian pickles for serving, optional', 'feta for serving, optional', 'flatbread, such as sangak, pita or lavash for serving, optional', 'Mast-o Khiar for serving, optional']","Breakfast, Dinner, Lunch","['Trim woody ends from cilantro, parsley and dill so that only leaves and tender stems remain. Wash herbs and romaine leaves, then use a salad spinner to dry very well. Set aside.', 'Finely dice both the green and white parts of the leeks. Wash well and drain.', 'Set a 10-inch cast-iron or nonstick pan over medium-high heat. When the pan is hot, add 3 tablespoons oil. When the oil shimmers, add leeks. Season with a generous pinch of salt and cook, stirring occasionally, until translucent and softened but not browned, about 20 minutes, reducing the heat if necessary.', 'In the meantime, very finely chop the cilantro, parsley, dill and romaine by hand — the smaller the pieces, the more deeply green your kuku will be. To chop such a large volume of herbs, take a large handful or two at a time and roll into a tight ball. Run a large, sharp knife through the ball to initially chop the herbs roughly, then continue to rock the knife back and forth through the pile of herbs until very finely chopped. Repeat with remaining herbs until finished. Combine the chopped herbs and romaine with the dried fenugreek and dried dill in a very large bowl.', 'When leeks are cooked, add herb mixture and another generous pinch of salt to the pan and cook, stirring often, until it dries out and the color changes to a very dark green, about 5 minutes. Transfer the mixture back into the very large bowl; spread it out, then allow it to cool to room temperature.', 'When the herb mixture has cooled, add barberries, turmeric, baking powder, 2 teaspoons salt and ½ teaspoon pepper. Taste the mixture: It should be a little on the salty side. If it’s not, add a little more salt. One at a time, add eggs to the herb mixture, stirring well after each addition. Use as few eggs as needed to barely bind the mixture; this will ensure a brilliant-green kuku. The mixture should be the consistency of a loose porridge.', 'Wipe out the pan and melt the butter over medium-high heat. When the butter melts, add remaining ¼ cup oil. Add a tiny spoonful of the kuku mixture to the pan. When it sizzles, add the rest of the mixture and use a rubber spatula to spread it out evenly. The oil should bubble up the sides of the kuku. Run the spatula around the edge and jiggle the pan from time to time to check that the mixture isn’t sticking. Cook, rotating pan a quarter turn every 3 to 4 minutes, until the kuku is set, the bottom is a very dark brown, and the edges are golden brown, 15 to 20 minutes. Don’t be afraid of getting your crust really dark — it will appear almost burned, but it will taste heavenly sweet.', 'Use a rubber spatula to ensure that the kuku is not stuck to the pan, then carefully tip as much of the oil as possible into a medium bowl and set aside. Cover the pan with a large, flat platter or pizza pan and flip the kuku onto it and set aside. Return the oil to the pan and carefully slide the flipped kuku back into the pan to cook the second side. Cook over medium-high until the second side is dark brown and the kuku is cooked through, about 5 more minutes.', 'While the kuku finishes cooking, wipe off the platter and line with a double layer of paper towels. Flip the finished kuku onto the prepared platter and use another paper towel to dab excess oil from the surface. To serve, flip once more onto a serving platter and peel away paper towels.', 'Serve warm, cold or at room temperature, with your choice of radishes, pickles, feta, warmed flatbread and mast-o khiar.']"
50,50,Spam Bánh Mi,"['1 Vietnamese baguette (Mexican bolillo is a good sub)', '1 can spam', '1 tomato', '1 cucumber', 'black pepper']","Lunch, Snack","['Slice spam and fry in a pan until brown and crispy.', 'Slice tomato and cucumber.', 'Toast baguette if desired.', 'Layer all ingredients inside the baguette and top them with black pepper. Assemble the sandwich and enjoy!']"
51,51,Porotos Con Riendas,"['2 cups dried cranberry/borlotti beans', '10 oz squash (butternut/hubbard/kabocha are best) chopped into small cubes', '½ an onion chopped', '¼ pack of spaghetti', '½ tsp paprika', 'salt, pepper, garlic powder, cumin to taste', '1 chorizo cut into slices']","Dinner, Lunch","['Soak the beans overnight or at least 8 hours and keep at room temperature. Rinse the beans before cooking.', 'In a pressure cooker, add the beans and enough water to cover beans by ½ an inch. Pressure cook on high for 20 minutes with natural release.', ""In a pan, cook the onion diced in vegetable oil with the paprika, and add salt, garlic, pepper and cumin to taste (a pinch of everything, just to give flavor), until it's transparent and fragrant."", 'To the beans in the pressure cooker, add the squash, the onion mixture, and spaghetti (broken in half). Add more water if needed. Pressure cook again on high for 10-12 minutes with natural release.', 'In another pan, fry the chorizo in slices with a bit of oil.', 'In another small pan or pot, add another teaspoon of paprika with some oil. Stir until it becomes a sort of hot paprika oil.', 'Serve the dish in a bowl with the fried chorizo on top and drizzled with the paprika oil.']"
52,52,Ube Butter Mochi,"['1 lb glutinous rice flour or mochiko', '2 cups sugar', '1 Tbsp baking powder', 'pinch salt', '5 large eggs room temperature', '½ cup melted butter cooled', '1 can (13.5 oz) coconut cream or coconut milk', '1 cup ube jam/ube halaya', '1 Tbsp ube extract', 'butter or oil for greasing pan']",Dessert,"['In a large bowl, toss in all the eggs and whisk until well scrambled.', 'Add melted butter and coconut milk and ube extract. Mix it all together.', 'Add the sugar, mix lightly and then add the glutinous rice flour, baking powder, salt. Mix until there are no more lumps. Be sure to scrape the sides to remove any flour that is stuck to the sides.', 'Preheat oven to 375°F. Grease your baking pan with butter or oil. Make sure your baking pan is at least 10 x 10 inches.', 'Pour about half the batter into your pan and then, using a piping bag, pipe ube jam so that when you eventually slice it, each slice will have a bit of the ube jam. Then pour the remaining batter. If you see any ube jam peeking through the top, just smooth out the top with a spatula or wooden spoon.', 'Bake in the oven at 375°F for 60 minutes.', 'Remove from oven and let cool for about 20 minutes before cutting. Enjoy!']"
53,53,Delícia de Abacaxi,"['1 medium fresh pineapple cubed', '1 ¼ cups sugar', '1 ½ cups water', '1 cinnamon stick']",Dessert,"['Mix together cubed pineapple (plus any juice coming out of the fruit while cutting it), sugar, water, and cinnamon stick in a medium saucepan.', 'Cook over medium-high heat for about 30-35 minutes, stirring now and then, or until the pineapple becomes tender, lightly golden brown, and the liquid nearly evaporates.', 'Near the end of the cooking process, keep a close eye on the compote to prevent burning, since the liquid will have almost evaporated (leave about ¼ cup of liquid for use later in the recipe). Remove from heat and let cool completely.']"
54,54,Gavurdağ Salad,"['2 large juicy tomatoes', '1½ cups walnuts', '1 red onion', '2 medium crunchy cucumbers', '3-4 small green chilies', '10-15 fresh mint leaves', '½ cup fresh parsley', '5 Tbsp olive oil', '4 Tbsp pomegranate molasses', '½ lemon juiced', '2 tsp aleppo pepper or chili flakes', '2 tsp salt', '2 tsp sumac']","Lunch, Snack","['Remove the seeds and dice the cucumbers into small cubes. Transfer into a bowl.', 'Finely dice the tomatoes; transfer to bowl.', 'Finely chop the red onion, slice the chilies finely, add to the bowl.', 'Chop the parsley and the mint leaves finely and add to the bowl.', 'Chop the walnuts into small pieces and transfer into the bowl.', 'For the dressing: Add sumac, aleppo pepper or chili flakes, olive oil, pomegranate molasses; taste and see if you need a bit of lemon juice.', 'Add dressing to the salad. Finally, season with salt and mix well.', 'Garnish with extra walnuts and pomegranate molasses.']"
55,55,Green Chutney & Butter Sandwich,"['white bread', 'butter', 'green chutney store-bought, or you can make your own']","Lunch, Snack","['Take two slices of white bread. Generously butter one slice and slather green chutney on the other.', 'Fold bread slices on top of each other.', 'Remove the crusts (if you like). Slice and serve!']"
56,56,Salată de Vinete,"['1 small/medium sized eggplant', '1 egg yolk', '1 tsp mustard', '¾ cup sunflower seed (or other neutral) oil', 'lemon to taste', 'salt & pepper to taste', '½ small yellow or white onion chopped', 'Bread, fresh cheese (like feta), tomato, cucumber, cold cuts as wanted, for serving']",Snack,"['Roast eggplant (preferably on an open fire or stovetop, not in the oven) - the skin needs to be really burned as it is getting peeled later.', 'Let them drain their liquid in a strainer for at least 20 minutes.', 'Peel and chop eggplant with a knife until it turns into a paste or your preferred consistency.', 'In a separate bowl, make a mayonnaise (highly recommended to do it yourself) out of the egg yolk, mustard and then gradually add sunflower seed oil, whisking constantly. Season the mayo with lemon, salt, and pepper.', 'Add it over the eggplant together with finely chopped onions.', 'Serve cold on bread and eaten with fresh cheese, tomatoes, cucumber, cold cuts, etc.']"
57,57,Spanakorizo,"['1 large onion or a small bunch of shallots chopped', '2 Tbsp fresh dill chopped', '2 cloves garlic crushed', '2 large bags baby spinach', '1 tin diced tomatoes or 2 Tbsp tomato paste', '1 cup long grain rice', '4 cups stock or water', '4 Tbsp olive oil', '1 tsp salt & pepper each']","Dinner, Lunch","['In a large pot add the olive oil, chopped onion or shallots, garlic and fry till soft. Then add dill and fry another minute.', 'Add the spinach and sauté about 5 minutes till wilted down.', 'Add diced tomato or tomato paste as well as salt, pepper and stock and bring to boil.', 'Once boiled add rice and stir. Bring to boil then cover with lid and reduce heat to simmer for about 20 minutes or until rice is cooked well.', 'Serve warm!']"
58,58,Mee Hoon Birthday,['200 g fine rice vermicelli noodles'],Dinner,"['Soak the noodles according to package directions.', 'Blend the blended ingredients together with adequate water to make a thick paste. Set aside.', 'Heat up the oil in a wok or large pan, then stir fry the pureed ingredients. It should cook without burning and reduce the amount of water in the purree. (It is important that you did not add too much water when pureeing or else you are going to end up waiting for quite some time.)', 'Add the proteins to the wok and stir fry until just cooked.', 'Add the stock cube and pepper, stir well.', 'Add the noodles and veg into the wok, stir fry. Add ¼ cup of water to allow the noodles to be braised until cooked. Continuously stir to avoid sticking and to ensure even mixing of the ingredients. Taste, and add more seasoning if required.', 'Add more water if the wok has dried but the noodles still seem uncooked. The end product should be dry-ish, so once you think the noodles are mostly cooked, stop adding water and continue to stir fry until its is moist but there is no liquid left.', 'Serve topped with any desired garnishes like fried onions or chilies!']"
59,59,Maultaschen,['Pre-made pasta dough/sheets'],"Dinner, Lunch","['Sauté onion in a frying pan in one teaspoon of oil until translucent. Remove the pan from the heat and let the onions cool slightly.', 'Wash the spinach, then boil it for 2-3 minutes in a pot of water. Remove it from the pot and run the spinach under cold water. Squeeze out the water, then chop the spinach into small pieces.', 'In a large mixing bowl, combine the ground pork, ground beef, chopped spinach, eggs, chopped parsley, and sautéd onion. Then, add the breadcrumbs. Finally, add salt, pepper, and nutmeg and mix everything together using your clean hands. If the mixture is overly wet, add a few more breadcrumbs. When you’re happy with the consistency, place the bowl with the meat mixture in the fridge. Cool completely before using.']"
60,60,Hetao Hu,"['2 cups walnuts', '¼ cup rice flour DO NOT use glutinous rice flour', '3 Tbsp black sugar, e.g. Gula Melaka you can also go for brown or white sugar, it’ll just be less caramelly', '1-2 Tbsp sesame seeds', '1 Tbsp coconut cream']",Dessert,"['This step removes the bitterness in the skin of the walnuts. Boil a pot of water, and put 2 cups of walnuts in the boiling water for 1-2 minutes.', 'Remove the walnuts from the pot, and dab the walnuts dry with a paper towel. Throw the water away.', 'You may peel off the loosen walnut skin if you want to, but it’s not necessary as most of the bitterness should be gone now. At this step, you can taste test the walnuts to see if it’s still bitter. If it’s still bitter, boil it once more, and if it’s still bitter… then these walnuts aren’t good.']"
61,61,Fanta Cake,"['5 eggs', '200 g sugar', '150 g flour', '1 tsp orange extract', '40 ml canola oil', '40 g cocoa powder', 'pinch salt']",Dessert,"['Preheat oven to 350℉.', 'Using a hand mixer, combine eggs, sugar, and salt in a large bowl. Mix on high until fluffy and light in color, volume should double or triple in size.', 'Add the cocoa powder and mix on low until just combined.', 'Using a spatula, fold in the oil and orange extract. Be gentle as you don’t want to lose the volume you just created with the eggs.', 'Little by little, fold in the flour.', 'Line a 13x9 inch cake pan (preferably something big with detachable walls) with parchment paper or grease/butter it. Pour cake batter into pan and bake for 20 minutes or until a toothpick comes out clean. Leave in the pan and set aside to cool.']"
62,62,Paneer Pakora,"['250 grams Paneer Softened and cut into cubs', '2 tsp Chili Powder', '2 tsp Coriander Powder', '1 tsp Chaat Masala', '1 tsp Kasuri Methi', '1/2 tsp Salt']",Snack,"['If your paneer is hard, soften it in warm water for around 10-15 minutes.', 'For dry rub pakoras: mix all the masala ingredients in a bowl. Add the cubed paneer to this and toss. Leave for 10-15 minutes.', 'To make stuffed paneer pakoras, slice the cub in half but not the whole way through, leave attached at the end. Spread some chutney inside the ""sandwich"" and remove any excess from the sides.', 'Make the batter by adding the besan, rice flour, chilli powder, hing, salt, ginger garlic paste, baking soda and mix well. Once these ingredients have combined, add water little by little to make a thick but runny batter. It should stick to the paneer and not drip off.', 'Dip the paneer into the batter and immediately fry', 'The batter will puff up a bit, fry until they are a light brown, turning them halfway to ensure they cook on both sides!', 'Sprinkle with a little chaat masala and serve with chutney or Maggi Hot and Sweet!']"
63,63,Arroz con Calamari,"['1 cup medium grain rice', '1 tin cuttlefish (squid) with ink Goya or Iberia brand recommended', '1 Tbsp neutral cooking oil', '1 Tbsp adobo seasoning', '1 envelope sazón', '2 Tbsp sofrito', '3 Tbsp tomato sauce or 1 tsp tomato paste', '1 ½ cups water', 'sweet plantains & stewed black beans for serving, optional']",Dinner,"['In a medium pot over medium heat add your oil, sofrito and tomato sauce or paste, combine and heat through,', 'Add the tin of cuttlefish/squid, combine and then add the rice. Combine thoroughly then add your water. Add the seasonings to taste.', 'Bring to a boil when the rice has absorbed the liquid bring your flame to the lowest setting cover with a piece of foil fitted over the pot and the cover with your lid. Allow it to cook for 20 mins no peeking.', 'Serve warm with plantains and/or black beans.']"
64,64,Sundubu Jjigae,"['1 container silken tofu', '1 scallion', '¼ onion', '¼ zucchini (or Korean squash)', '¼ jalapeno pepper', '1 egg', '1 ½ cups water', '1 Tbsp sesame oil', '2 Tbsp vegetable oil', '1 Tbsp gochugaru (or more, if you like spicy)', 'salt to taste', '1 tsp sugar', '1 Tbsp oyster sauce', '1 Tbsp soy sauce', '1 Tbsp garlic minced', '1 tsp dashi powder']",Dinner,"['Chop up your scallion, onion, pepper (smaller pieces), squash into bite size bits.', 'In the bottom of an empty pot, add sesame oil and vegetable oil.', 'Add scallion and onion and cook until fragrant in medium heat (if you want to add meat, this is where you add pork or beef and pan fry).', 'Add 1 - 1 ½ Tbsp gochugaru (depends on how spicy you want it) and fry until infused in the oil. Mix in sugar, oyster sauce, and soy sauce.', 'Then add 1 ½ cups water.', 'For a deeper flavor, you can add 2 cups of anchovy broth (+ mushroom, dashi if you have) boiled in advance.', 'Now bring to full boil, then add the squash, garlic, and pepper.', 'Add the silken tofu in the end and boil 3 minutes.', 'Turn off heat and add egg, then serve when the egg is almost poached. Enjoy with a bowl of rice!']"
65,65,Chocolate Mayo Birthday Cake,"['2 cups flour', '⅔ cup cocoa powder', '1¼ tsp baking soda', '¼ tsp baking powder', '1⅔ cup sugar', '4 eggs', '1 tsp vanilla', ""1 cup Hellman's mayo"", '1⅓ cup water', 'berry jam for filling']",Dessert,"['Grease and flour 2, 9” cake tins. Preheat oven to 350℉.', 'Mix together first 4 ingredients and set aside.', 'In a large bowl, use a hand mixer on high speed to beat together sugar, eggs and vanilla for 3 minutes or until light and fluffy.', 'On low speed, beat in the mayo.', 'Add flour in 4 additions alternating with the water, beginning and ending with flour.', 'Pour into prepared tins and bake for 30-35 mins or until a toothpick inserted into the center comes out clean.', 'Cool in tins for 10 mins before turning out and cooling completely on wire racks before frosting.']"
66,66,Apple Dumplings,"['1-2 1-2 granny smith apples you will want to make 8 good chunks of apples', '1 can crescent rolls', '½ cup sugar plus an extra ⅓ cup', '½ Tbsp ground cinnamon', '6 Tbsp butter plus extra for baking dish', '12 oz can mountain dew', 'vanilla ice cream for serving, optional']",Dessert,"['Butter a baking dish.', 'Peel, core, and cut apples into 8 chunks (one chunk per crescent roll).', 'Roll one chunk apple in a crescent roll (lay apple on wide side and roll up like you would the roll). Line up in your prepared baking dish.', 'Mix together ⅓ sugar and cinnamon to make cinnamon sugar. Sprinkle this over the dumplings.', 'Cream butter and remaining ½ cup sugar together and plop in between dumplings.', 'Crack open soda and pour along edges of the baking dish.', 'Bake at 350℉ for 45-55 minutes, depending on your oven.', 'Serve warm topped with ice cream if desired.']"
67,67,Øllebrød,"['300 g stale rye bread', '400 ml ale or malt beer or water', '1 Tbsp honey or sugar', '200 ml heavy cream', 'salt to taste']",Breakfast,"['Break up the stale bread.', 'Mix the bread and beer and let sit overnight.', 'Next day, add mixture, another cup or so of water, and honey in a pan and let it simmer on a low heat for about 20 minutes until the bread has dissolved into a soft porridge. Season with salt to taste.', 'Whip the cream and serve with the warm porridge.']"
68,68,Stir Fried Spam with Potatoes and Baked Beans,"['2 medium potatoes', '1 small can of baked beans such as Heinz', '½ can spam', '½ cup water', 'ketchup or Worcestershire sauce for seasoning']","Dinner, Lunch","['Peel and cut the potatoes and spam into cubes.', 'Boil the potatoes in water until fork tender. (This step is optional but will help to ensure your potato is cooked). Then drain.', 'Start to fry the spam cubes in a wok. Once the spam cubes are browned, add in the potato and brown the sides as well.', 'Once the potatoes are browned, add in the baked beans and then the water.', 'Simmer until potatoes are cooked and sauce thickens.', 'Add ketchup or Worcestershire to season. Serve warm.']"
